broadcast_id, hoster, title, description, duration, publish_date, channel_id, categorie
"55451012", "younow", "", "", "0", "0", "12681330", "1"
"55699313", "younow", "", "", "0", "0", "12681330", "1"
"55742047", "younow", "", "", "0", "0", "12681330", "1"
"55863354", "younow", "", "", "0", "0", "12681330", "1"
"56623923", "younow", "", "", "0", "0", "12681330", "1"
"57018392", "younow", "", "", "0", "0", "12681330", "1"
"57353949", "younow", "", "", "0", "0", "", "1"
"58710543", "younow", "", "", "0", "0", "12681330", "1"
"58766203", "younow", "", "", "0", "0", "12681330", "1"
"59505735", "younow", "", "", "0", "0", "", "1"
"58850970", "younow", "", "", "0", "0", "12681330", "1"
"57132269", "younow", "", "", "0", "0", "", "1"
"59152814", "younow", "", "", "0", "0", "12681330", "1"
"54437832", "younow", "", "", "0", "0", "12681330", "1"
"58779629", "younow", "", "", "0", "0", "12681330", "1"
"58993534", "younow", "", "", "0", "0", "", "1"
"63523609", "younow", "", "", "0", "0", "12681330", "1"
"65587852", "younow", "", "", "0", "0", "12681330", "1"
"72818123", "younow", "", "", "0", "0", "12681330", "1"
"54290885", "younow", "", "", "0", "0", "", "1"
"69306005", "younow", "", "", "0", "0", "", "1"
"57917167", "younow", "", "", "0", "0", "", "1"
"54432657", "younow", "YouNow Stream vom 20. Juni 2015", "", "0", "1434835380", "", "1"
"54541513", "younow", "", "", "0", "1434911820", "", "1"
"54670165", "younow", "YouNow Stream vom 22. Juni 2015", "", "0", "1434997680", "", "1"
"54520639", "younow", "YouNow Stream vom 21. Juni 2015", "", "0", "1435158060", "", "1"
"54552197", "younow", "YouNow Stream vom 25. Juni 2015", "", "0", "1435229580", "12681330", "1"
"54819801", "younow", "YouNow Stream vom 23. Juli 2015", "", "0", "1435266300", "12681330", "1"
"55102389", "younow", "YouNow Stream vom 25. Juli 2015", "", "5253", "1435425660", "12681330", "1"
"55595102", "younow", "", "", "0", "1435538100", "12681330", "1"
"55855368", "younow", "YouNow Stream vom 30. Juni 2015", "", "0", "1435618800", "12681330", "1"
"55556393", "younow", "YouNow Stream vom 28. Juli 2015", "", "0", "1435702080", "12681330", "1"
"56062691", "younow", "", "", "0", "1435772940", "12681330", "1"
"56064871", "younow", "", "", "0", "1435774020", "12681330", "1"
"56072645", "younow", "", "", "0", "1435777440", "12681330", "1"
"56074627", "younow", "", "", "0", "1435778280", "12681330", "1"
"56086900", "younow", "", "", "0", "1435783320", "12681330", "1"
"56088717", "younow", "", "", "0", "1435784040", "12681330", "1"
"56626483", "younow", "", "", "0", "1436111400", "12681330", "1"
"56924812", "younow", "YouNow Stream vom 07. Juli 2015", "", "1895", "1436256240", "12681330", "1"
"57096054", "younow", "", "", "0", "1436369640", "", "1"
"57280566", "younow", "YouNow Stream vom 09. Juli 2015", "", "6989", "1436403780", "", "1"
"56770304", "younow", "YouNow Stream vom 10. Juli 2015", "", "0", "1436509680", "", "1"
"57440582", "younow", "YouNow Stream vom 10. Juli 2015", "", "16443", "1436542020", "", "1"
"57625289", "younow", "YouNow Stream vom 11. Juli 2015", "", "6461", "1436636700", "", "1"
"57279291", "younow", "YouNow Stream vom 11. Juli 2015", "", "0", "1436652840", "", "1"
"57765051", "younow", "YouNow Stream vom 12. Juli 2015", "", "9707", "1436706900", "", "1"
"57824950", "younow", "", "", "0", "1436744040", "", "1"
"58059350", "younow", "YouNow Stream vom 14. Juli 2015", "", "9135", "1436868600", "", "1"
"58067228", "younow", "YouNow Stream vom 14. Juli 2015", "", "1200", "1436879100", "", "1"
"58077751", "younow", "YouNow Stream vom 14. Juli 2015", "", "3457", "1436888640", "", "1"
"58081164", "younow", "", "", "0", "1436891160", "", "1"
"58082498", "younow", "", "", "0", "1436892000", "", "1"
"58100892", "younow", "YouNow Stream vom 14. Juli 2015", "", "6719", "1436900580", "", "1"
"58120786", "younow", "", "", "0", "1436908020", "", "1"
"57764264", "younow", "YouNow Stream vom 15. Juli 2015", "", "0", "1436918820", "", "1"
"57776656", "younow", "YouNow Stream vom 15. Juli 2015", "", "0", "1436920200", "12681330", "1"
"58217148", "younow", "YouNow Stream vom 15. Juli 2015", "", "4422", "1436952360", "12681330", "1"
"58277954", "younow", "YouNow Stream vom 16. Juli 2015", "", "1587", "1436993340", "", "1"
"58292470", "younow", "YouNow Stream vom 16. Juli 2015", "", "2083", "1436999640", "12681330", "1"
"58292857", "younow", "", "", "0", "1437043980", "12681330", "1"
"58435233", "younow", "YouNow Stream vom 16. Juli 2015", "", "0", "1437082680", "12681330", "1"
"58582807", "younow", "", "", "0", "1437126540", "12681330", "1"
"58516599", "younow", "YouNow Stream vom 17. Juli 2015", "", "13920", "1437169740", "12681330", "1"
"58276801", "younow", "YouNow Stream vom 18. Juli 2015", "", "0", "1437188280", "12681330", "1"
"58679487", "younow", "YouNow Stream vom 18. Juli 2015", "", "1573", "1437221280", "12681330", "1"
"58689275", "younow", "", "", "0", "1437234240", "12681330", "1"
"58700657", "younow", "", "", "0", "1437242580", "12681330", "1"
"58720180", "younow", "", "", "0", "1437255600", "12681330", "1"
"58747145", "younow", "", "", "0", "1437270000", "12681330", "1"
"58689179", "younow", "YouNow Stream vom 20. Juli 2015", "", "0", "1437426060", "12681330", "1"
"59159879", "younow", "", "", "0", "1437429600", "12681330", "1"
"59165012", "younow", "", "", "0", "1437429600", "12681330", "1"
"59165336", "younow", "", "", "0", "1437429600", "12681330", "1"
"59153127", "younow", "", "", "0", "1437491160", "12681330", "1"
